Participant,Time,Congruency,P3,N2
1,morning,congruent,5.13810125,-2.7371185
1,morning,incongruent,4.41041875,-1.73072725
1,evening,congruent,5.37264975,-1.01587975
1,evening,incongruent,4.70084175,-0.2672305
2,morning,congruent,5.580301,0.012332
2,morning,incongruent,6.68908925,-1.06916975
2,evening,congruent,10.6097525,0.34327325
2,evening,incongruent,7.56906325,-1.158285
3,morning,congruent,6.9467385,-1.75332875
3,morning,incongruent,7.2817745,-2.22501625
3,evening,congruent,12.274215,1.207899
3,evening,incongruent,11.29268175,0.276481
4,morning,congruent,18.90244,10.7567505
4,morning,incongruent,20.97414275,9.1364045
4,evening,congruent,20.0249625,8.179413
4,evening,incongruent,19.591982,4.89777775
5,morning,congruent,11.80199775,6.956291
5,morning,incongruent,12.94762675,6.632845
5,evening,congruent,11.50859475,3.55779525
5,evening,incongruent,13.47057875,5.408068
6,morning,congruent,3.26047925,1.093539
6,morning,incongruent,3.93560575,2.650855
6,evening,congruent,1.91852325,0.47067725
6,evening,incongruent,2.50690975,2.16827375
8,morning,congruent,12.832583,3.02624425
8,morning,incongruent,13.8312835,4.1441405
8,evening,congruent,14.26806225,5.56407925
8,evening,incongruent,15.46058075,4.9873425
9,evening,congruent,11.48916175,-5.22293
9,evening,incongruent,9.296904,-7.17549075
9,morning,congruent,11.74180375,-6.62340325
9,morning,incongruent,10.24358725,-8.51870675
10,morning,congruent,6.64665825,0.42954975
10,morning,incongruent,6.14115125,1.02829025
10,evening,congruent,3.4242685,3.168021
10,evening,incongruent,3.1117615,3.122407
11,evening,congruent,6.446742,2.8878235
11,evening,incongruent,5.698513,2.41704725
11,morning,congruent,6.64444525,5.33108725
11,morning,incongruent,5.37471175,5.6236535
12,morning,congruent,6.83699,-1.19793125
12,morning,incongruent,6.4009045,-1.06600625
12,evening,congruent,3.37638875,-1.2363345
12,evening,incongruent,3.5565255,-0.9358885
13,morning,congruent,2.768683,2.852091
13,morning,incongruent,1.5867635,3.3375355
13,evening,congruent,9.1657255,6.5252305
13,evening,incongruent,8.1504295,6.055299
14,evening,congruent,2.042898,2.45422475
14,evening,incongruent,0.45725725,2.5726135
14,morning,congruent,5.19438125,3.1432215
14,morning,incongruent,3.88133725,2.571467
15,evening,congruent,7.27438275,1.0367735
15,evening,incongruent,4.5661255,0.50906175
15,morning,congruent,6.9734505,2.2450335
15,morning,incongruent,4.8825685,4.43555525
16,evening,congruent,17.81943875,2.88643925
16,evening,incongruent,13.36677425,1.48262725
16,morning,congruent,15.60572725,2.69899275
16,morning,incongruent,12.4528465,2.63382625
17,evening,congruent,7.81275775,3.631677
17,evening,incongruent,6.211252,4.50521525
17,morning,congruent,7.29113525,1.7113535
17,morning,incongruent,5.41739825,2.0856065
18,evening,congruent,9.6071915,1.16452475
18,evening,incongruent,7.8681925,-0.554239
18,morning,congruent,11.20026225,-0.588839
18,morning,incongruent,10.4197255,1.53496525
19,evening,congruent,11.860292,2.69373925
19,evening,incongruent,11.825241,4.9664405
19,morning,congruent,11.08321725,1.5062375
19,morning,incongruent,10.17445625,2.6676115
21,evening,congruent,4.44407775,-0.11699375
21,evening,incongruent,4.04841125,0.1627115
21,morning,congruent,11.846105,-1.76370475
21,morning,incongruent,10.121712,-2.4363635
22,morning,congruent,7.9805835,-0.94676225
22,morning,incongruent,8.834203,-1.73054125
22,evening,congruent,7.508883,-0.3606905
22,evening,incongruent,8.37919775,-1.88493875
23,evening,congruent,11.4197315,6.08328125
23,evening,incongruent,11.602047,4.95940225
23,morning,congruent,5.08852925,-0.99343925
23,morning,incongruent,4.834771,-0.847091
24,evening,congruent,7.53427125,1.888588
24,evening,incongruent,8.833184,2.352495
24,morning,congruent,5.9174325,1.21511
24,morning,incongruent,6.77987125,0.95594475
26,evening,congruent,8.65299875,-0.15831475
26,evening,incongruent,7.783891,0.3179585
26,morning,congruent,8.70225775,1.06695575
26,morning,incongruent,7.54593525,-0.66359675
27,morning,congruent,10.001191,-2.0310255
27,morning,incongruent,7.43222525,-2.03682425
27,evening,congruent,9.7509205,-1.8317795
27,evening,incongruent,7.091299,-3.19054925
28,evening,congruent,13.7824145,3.57622125
28,evening,incongruent,10.86343875,6.6524265
28,morning,congruent,9.53065475,2.1683445
28,morning,incongruent,9.94681875,3.1316515
29,morning,congruent,7.22642225,0.163602
29,morning,incongruent,7.863359,0.8529725
29,evening,congruent,8.02199375,0.11247675
29,evening,incongruent,8.54434525,0.920524
