Participant,Time,nback,P3,N2
1,morning,0back,3.57061625,-6.84293575
1,morning,1back,5.153291,-0.781864
1,morning,2back,4.17999525,2.66771175
1,morning,3back,5.46344525,1.466802
1,evening,0back,7.54123975,-6.61328125
1,evening,1back,1.38706175,-6.14605425
1,evening,2back,3.3350895,0.31280875
1,evening,3back,3.38339175,1.886856
2,morning,0back,9.56173,-0.34631925
2,morning,1back,4.44744125,-4.94659775
2,morning,2back,2.77966575,0.94566325
2,morning,3back,1.41148775,-1.4943165
2,evening,0back,7.808069,-7.3686795
2,evening,1back,8.64709875,-1.64871
2,evening,2back,8.06623825,-3.1335145
2,evening,3back,9.24589075,5.838585
3,morning,0back,14.0235875,1.9580095
3,morning,1back,10.02059375,0.8053455
3,morning,2back,9.615535,8.8269715
3,morning,3back,11.2236985,-0.29218775
3,evening,0back,9.86628225,5.168047
3,evening,1back,10.851059,4.2538255
3,evening,2back,17.0295105,14.72904225
3,evening,3back,11.166873,5.4278445
4,morning,0back,21.53942475,-2.2141315
4,morning,1back,24.36901175,2.501998
4,morning,2back,20.177643,0.57240175
4,morning,3back,19.718949,-0.77973525
4,evening,0back,21.83122075,0.81099525
4,evening,1back,22.93880975,8.33333175
4,evening,2back,15.40905675,-2.4619645
4,evening,3back,18.88667825,1.92719725
5,morning,0back,22.291225,2.1954875
5,morning,1back,15.14425475,-0.71314225
5,morning,2back,10.53620875,4.54793875
5,morning,3back,13.953668,1.137505
5,evening,0back,20.82055825,3.76617375
5,evening,1back,19.4581675,3.410061
5,evening,2back,16.90122725,3.47963625
5,evening,3back,16.185313,3.225597
6,morning,0back,6.19225675,2.404093
6,morning,1back,4.777639,1.833789
6,morning,2back,4.695134,-0.1705005
6,morning,3back,3.82846475,2.51637125
6,evening,0back,4.3157215,0.026856
6,evening,1back,6.860012,5.2114385
6,evening,2back,5.98856525,1.09130875
6,evening,3back,6.32902675,0.946762
8,morning,0back,25.38320025,5.80258425
8,morning,1back,16.810516,-0.42170375
8,morning,2back,10.10729725,7.0092405
8,morning,3back,5.79737625,4.308612
8,evening,0back,18.76560975,0.671583
8,evening,1back,16.26716325,3.40063175
8,evening,2back,12.16071,5.65393125
8,evening,3back,5.68201825,1.87473325
9,evening,0back,14.68594825,-11.8089295
9,evening,1back,13.4560895,-3.49878575
9,evening,2back,7.1986795,-2.424832
9,evening,3back,4.837417,0.01937025
9,morning,0back,16.5478105,-10.6006875
9,morning,1back,14.21603725,-3.1659905
9,morning,2back,6.558141,-5.220839
9,morning,3back,9.56070825,1.82696275
10,morning,0back,8.768296,0.1747385
10,morning,1back,7.20943825,0.93897225
10,morning,2back,2.5083285,-0.10163475
10,morning,3back,9.02843325,4.6926655
10,evening,0back,7.31146275,4.485517
10,evening,1back,3.93367275,2.02503225
10,evening,2back,4.39580025,5.01974675
10,evening,3back,4.394864,-0.984599
11,evening,0back,13.70553375,6.99087325
11,evening,1back,13.084514,3.645006
11,evening,2back,11.94988975,7.17646
11,evening,3back,13.95865475,6.7034275
11,morning,0back,4.8549375,0.0632555
11,morning,1back,14.7132675,8.54404125
11,morning,2back,17.31020275,6.756642
11,morning,3back,16.8834615,10.8917225
12,morning,0back,14.5068885,-3.2771495
12,morning,1back,14.2717145,0.27218825
12,morning,2back,4.1315395,0.9070135
12,morning,3back,6.0504155,-0.67861825
12,evening,0back,13.24380025,-0.50204325
12,evening,1back,12.04259675,-7.1901095
12,evening,2back,10.8291385,-1.222178
12,evening,3back,7.66259825,3.1915345
13,morning,0back,4.03741575,1.9413655
13,morning,1back,1.88166275,2.966572
13,morning,2back,1.04923525,4.707365
13,morning,3back,8.16457275,6.00321425
13,evening,0back,14.3135435,5.100437
13,evening,1back,4.219243,5.7936165
13,evening,2back,3.527835,5.7825095
13,evening,3back,3.962338,7.52819525
14,evening,0back,8.9248215,4.4739885
14,evening,1back,4.706603,5.6861635
14,evening,2back,4.85388375,6.4385825
14,evening,3back,1.49864575,5.07427075
14,morning,0back,0.597356,-0.38668425
14,morning,1back,0.167445,2.091228
14,morning,2back,0.1715405,0.1527835
14,morning,3back,-0.93447825,-0.2964295
15,evening,0back,11.50607175,2.19831275
15,evening,1back,16.018815,11.408741
15,evening,2back,5.88783275,3.9377985
15,evening,3back,6.648676,4.5552945
15,morning,0back,9.97726975,0.6607305
15,morning,1back,12.10396475,4.01706175
